 !Structure factor in RPA
 !=======================
 !
 !Plasma density [r_s]:
 !   4.0000000000000000     
 !Temperature [theta]:
 !  0.10000000000000001     
 !w start [ryd]:
 !   1.0000000000000001E-005
 !w end [ryd]:
 !   150.00000000000000     
 !w points:
 !        1000
 !q start [1/a_B]:
 !   5.0000000000000000     
 !q end [1/a_B]:
 !   20.000000000000000     
 !q points:
 !           1
 !   2.5172579932396904E+022  0.22827605132869175        3634.4609603460467     
!        w[ryd]         w/w_pl       q[1/a_B]           q/qf    SRPA(q,tau)    SLFC(q,tau)           G(q)
! Library RPA_LIB version 2.0 is initialized.
  6.1500096E+00  1.4202839E+01  5.0000000E+00  1.0421235E+01  2.7715748E-65  2.7732661E-65  9.4579243E-01
  6.3000096E+00  1.4549249E+01  5.0000000E+00  1.0421235E+01  3.2097810E-64  3.2117463E-64  9.4579243E-01
  6.4500096E+00  1.4895659E+01  5.0000000E+00  1.0421235E+01  3.6451830E-63  3.6474226E-63  9.4579243E-01
  6.6000096E+00  1.5242069E+01  5.0000000E+00  1.0421235E+01  4.0593678E-62  4.0618706E-62  9.4579243E-01
  6.7500095E+00  1.5588479E+01  5.0000000E+00  1.0421235E+01  4.4329476E-61  4.4356906E-61  9.4579243E-01
  6.9000095E+00  1.5934889E+01  5.0000000E+00  1.0421235E+01  4.7470294E-60  4.7499777E-60  9.4579243E-01
  7.0500095E+00  1.6281300E+01  5.0000000E+00  1.0421235E+01  4.9847843E-59  4.9878922E-59  9.4579243E-01
  7.2000095E+00  1.6627710E+01  5.0000000E+00  1.0421235E+01  5.1329372E-58  5.1361500E-58  9.4579243E-01
  7.3500095E+00  1.6974120E+01  5.0000000E+00  1.0421235E+01  5.1829935E-57  5.1862507E-57  9.4579243E-01
  7.5000095E+00  1.7320530E+01  5.0000000E+00  1.0421235E+01  5.1320455E-56  5.1352840E-56  9.4579243E-01
  7.6500095E+00  1.7666940E+01  5.0000000E+00  1.0421235E+01  4.9830525E-55  4.9862103E-55  9.4579243E-01
  7.8000095E+00  1.8013350E+01  5.0000000E+00  1.0421235E+01  4.7445558E-54  4.7475754E-54  9.4579243E-01
  7.9500095E+00  1.8359760E+01  5.0000000E+00  1.0421235E+01  4.4298679E-53  4.4326997E-53  9.4579243E-01
  8.1000095E+00  1.8706171E+01  5.0000000E+00  1.0421235E+01  4.0558428E-52  4.0584473E-52  9.4579243E-01
  8.2500095E+00  1.9052581E+01  5.0000000E+00  1.0421235E+01  3.6413848E-51  3.6437340E-51  9.4579243E-01
  8.4000094E+00  1.9398991E+01  5.0000000E+00  1.0421235E+01  3.2058792E-50  3.2079574E-50  9.4579243E-01
  8.5500094E+00  1.9745401E+01  5.0000000E+00  1.0421235E+01  2.7677246E-49  2.7695274E-49  9.4579243E-01
  8.7000094E+00  2.0091811E+01  5.0000000E+00  1.0421235E+01  2.3431155E-48  2.3446494E-48  9.4579243E-01
  8.8500094E+00  2.0438221E+01  5.0000000E+00  1.0421235E+01  1.9451793E-47  1.9464592E-47  9.4579243E-01
  9.0000094E+00  2.0784631E+01  5.0000000E+00  1.0421235E+01  1.5835096E-46  1.5845569E-46  9.4579243E-01
  9.1500094E+00  2.1131042E+01  5.0000000E+00  1.0421235E+01  1.2640868E-45  1.2649273E-45  9.4579243E-01
  9.3000094E+00  2.1477452E+01  5.0000000E+00  1.0421235E+01  9.8952823E-45  9.9018978E-45  9.4579243E-01
  9.4500094E+00  2.1823862E+01  5.0000000E+00  1.0421235E+01  7.5958189E-44  7.6009254E-44  9.4579243E-01
  9.6000094E+00  2.2170272E+01  5.0000000E+00  1.0421235E+01  5.7176310E-43  5.7214968E-43  9.4579243E-01
  9.7500093E+00  2.2516682E+01  5.0000000E+00  1.0421235E+01  4.2203917E-42  4.2232618E-42  9.4579243E-01
  9.9000093E+00  2.2863092E+01  5.0000000E+00  1.0421235E+01  3.0548122E-41  3.0569020E-41  9.4579243E-01
  1.0050009E+01  2.3209502E+01  5.0000000E+00  1.0421235E+01  2.1682601E-40  2.1697524E-40  9.4579243E-01
  1.0200009E+01  2.3555913E+01  5.0000000E+00  1.0421235E+01  1.5091532E-39  1.5101984E-39  9.4579243E-01
  1.0350009E+01  2.3902323E+01  5.0000000E+00  1.0421235E+01  1.0300313E-38  1.0307491E-38  9.4579243E-01
  1.0500009E+01  2.4248733E+01  5.0000000E+00  1.0421235E+01  6.8938620E-38  6.8986979E-38  9.4579243E-01
  1.0650009E+01  2.4595143E+01  5.0000000E+00  1.0421235E+01  4.5244924E-37  4.5276873E-37  9.4579243E-01
  1.0800009E+01  2.4941553E+01  5.0000000E+00  1.0421235E+01  2.9118717E-36  2.9139418E-36  9.4579243E-01
  1.0950009E+01  2.5287963E+01  5.0000000E+00  1.0421235E+01  1.8376793E-35  1.8389948E-35  9.4579243E-01
  1.1100009E+01  2.5634373E+01  5.0000000E+00  1.0421235E+01  1.1372666E-34  1.1380865E-34  9.4579243E-01
  1.1250009E+01  2.5980783E+01  5.0000000E+00  1.0421235E+01  6.9016027E-34  6.9066142E-34  9.4579243E-01
  1.1400009E+01  2.6327194E+01  5.0000000E+00  1.0421235E+01  4.1070758E-33  4.1100801E-33  9.4579243E-01
  1.1550009E+01  2.6673604E+01  5.0000000E+00  1.0421235E+01  2.3966828E-32  2.3984492E-32  9.4579243E-01
  1.1700009E+01  2.7020014E+01  5.0000000E+00  1.0421235E+01  1.3714611E-31  1.3724797E-31  9.4579243E-01
  1.1850009E+01  2.7366424E+01  5.0000000E+00  1.0421235E+01  7.6957600E-31  7.7015207E-31  9.4579243E-01
  1.2000009E+01  2.7712834E+01  5.0000000E+00  1.0421235E+01  4.2346216E-30  4.2378170E-30  9.4579243E-01
  1.2150009E+01  2.8059244E+01  5.0000000E+00  1.0421235E+01  2.2849294E-29  2.2866678E-29  9.4579243E-01
  1.2300009E+01  2.8405654E+01  5.0000000E+00  1.0421235E+01  1.2089993E-28  1.2099268E-28  9.4579243E-01
  1.2450009E+01  2.8752065E+01  5.0000000E+00  1.0421235E+01  6.2729867E-28  6.2778407E-28  9.4579243E-01
  1.2600009E+01  2.9098475E+01  5.0000000E+00  1.0421235E+01  3.1916684E-27  3.1941598E-27  9.4579243E-01
  1.2750009E+01  2.9444885E+01  5.0000000E+00  1.0421235E+01  1.5924148E-26  1.5936690E-26  9.4579243E-01
  1.2900009E+01  2.9791295E+01  5.0000000E+00  1.0421235E+01  7.7909376E-26  7.7971302E-26  9.4579243E-01
  1.3050009E+01  3.0137705E+01  5.0000000E+00  1.0421235E+01  3.7378193E-25  3.7408181E-25  9.4579243E-01
  1.3200009E+01  3.0484115E+01  5.0000000E+00  1.0421235E+01  1.7584982E-24  1.7599226E-24  9.4579243E-01
  1.3350009E+01  3.0830525E+01  5.0000000E+00  1.0421235E+01  8.1126099E-24  8.1192456E-24  9.4579243E-01
  1.3500009E+01  3.1176936E+01  5.0000000E+00  1.0421235E+01  3.6700696E-23  3.6731017E-23  9.4579243E-01
  1.3650009E+01  3.1523346E+01  5.0000000E+00  1.0421235E+01  1.6281074E-22  1.6294663E-22  9.4579243E-01
  1.3800009E+01  3.1869756E+01  5.0000000E+00  1.0421235E+01  7.0825039E-22  7.0884775E-22  9.4579243E-01
  1.3950009E+01  3.2216166E+01  5.0000000E+00  1.0421235E+01  3.0212428E-21  3.0238184E-21  9.4579243E-01
  1.4100009E+01  3.2562576E+01  5.0000000E+00  1.0421235E+01  1.2638032E-20  1.2648924E-20  9.4579243E-01
  1.4250009E+01  3.2908986E+01  5.0000000E+00  1.0421235E+01  5.1840391E-20  5.1885575E-20  9.4579243E-01
  1.4400009E+01  3.3255396E+01  5.0000000E+00  1.0421235E+01  2.0852210E-19  2.0870595E-19  9.4579243E-01
  1.4550009E+01  3.3601807E+01  5.0000000E+00  1.0421235E+01  8.2249056E-19  8.2322430E-19  9.4579243E-01
  1.4700009E+01  3.3948217E+01  5.0000000E+00  1.0421235E+01  3.1813008E-18  3.1841732E-18  9.4579243E-01
  1.4850009E+01  3.4294627E+01  5.0000000E+00  1.0421235E+01  1.2066283E-17  1.2077313E-17  9.4579243E-01
  1.5000009E+01  3.4641037E+01  5.0000000E+00  1.0421235E+01  4.4878390E-17  4.4919936E-17  9.4579243E-01
  1.5150009E+01  3.4987447E+01  5.0000000E+00  1.0421235E+01  1.6368013E-16  1.6383364E-16  9.4579243E-01
  1.5300009E+01  3.5333857E+01  5.0000000E+00  1.0421235E+01  5.8539582E-16  5.8595220E-16  9.4579243E-01
  1.5450009E+01  3.5680267E+01  5.0000000E+00  1.0421235E+01  2.0530437E-15  2.0550218E-15  9.4579243E-01
  1.5600009E+01  3.6026677E+01  5.0000000E+00  1.0421235E+01  7.0606012E-15  7.0675003E-15  9.4579243E-01
  1.5750009E+01  3.6373088E+01  5.0000000E+00  1.0421235E+01  2.3811134E-14  2.3834738E-14  9.4579243E-01
  1.5900009E+01  3.6719498E+01  5.0000000E+00  1.0421235E+01  7.8743253E-14  7.8822476E-14  9.4579243E-01
  1.6050009E+01  3.7065908E+01  5.0000000E+00  1.0421235E+01  2.5535331E-13  2.5561416E-13  9.4579243E-01
  1.6200009E+01  3.7412318E+01  5.0000000E+00  1.0421235E+01  8.1201578E-13  8.1285838E-13  9.4579243E-01
  1.6350009E+01  3.7758728E+01  5.0000000E+00  1.0421235E+01  2.5321083E-12  2.5347785E-12  9.4579243E-01
  1.6500009E+01  3.8105138E+01  5.0000000E+00  1.0421235E+01  7.7427436E-12  7.7510454E-12  9.4579243E-01
  1.6650009E+01  3.8451548E+01  5.0000000E+00  1.0421235E+01  2.3216794E-11  2.3242117E-11  9.4579243E-01
  1.6800009E+01  3.8797959E+01  5.0000000E+00  1.0421235E+01  6.8265982E-11  6.8341769E-11  9.4579243E-01
  1.6950009E+01  3.9144369E+01  5.0000000E+00  1.0421235E+01  1.9683447E-10  1.9705702E-10  9.4579243E-01
  1.7100009E+01  3.9490779E+01  5.0000000E+00  1.0421235E+01  5.5653519E-10  5.5717640E-10  9.4579243E-01
  1.7250009E+01  3.9837189E+01  5.0000000E+00  1.0421235E+01  1.5430454E-09  1.5448583E-09  9.4579243E-01
  1.7400009E+01  4.0183599E+01  5.0000000E+00  1.0421235E+01  4.1952645E-09  4.2002939E-09  9.4579243E-01
  1.7550009E+01  4.0530009E+01  5.0000000E+00  1.0421235E+01  1.1184960E-08  1.1198653E-08  9.4579243E-01
  1.7700009E+01  4.0876419E+01  5.0000000E+00  1.0421235E+01  2.9241780E-08  2.9278368E-08  9.4579243E-01
  1.7850009E+01  4.1222830E+01  5.0000000E+00  1.0421235E+01  7.4966488E-08  7.5062438E-08  9.4579243E-01
  1.8000009E+01  4.1569240E+01  5.0000000E+00  1.0421235E+01  1.8846203E-07  1.8870901E-07  9.4579243E-01
  1.8150009E+01  4.1915650E+01  5.0000000E+00  1.0421235E+01  4.6459280E-07  4.6521688E-07  9.4579243E-01
  1.8300009E+01  4.2262060E+01  5.0000000E+00  1.0421235E+01  1.1230777E-06  1.1246259E-06  9.4579243E-01
  1.8450009E+01  4.2608470E+01  5.0000000E+00  1.0421235E+01  2.6621268E-06  2.6658979E-06  9.4579243E-01
  1.8600009E+01  4.2954880E+01  5.0000000E+00  1.0421235E+01  6.1874788E-06  6.1964990E-06  9.4579243E-01
  1.8750009E+01  4.3301290E+01  5.0000000E+00  1.0421235E+01  1.4100387E-05  1.4121579E-05  9.4579243E-01
  1.8900009E+01  4.3647701E+01  5.0000000E+00  1.0421235E+01  3.1499913E-05  3.1548819E-05  9.4579243E-01
  1.9050009E+01  4.3994111E+01  5.0000000E+00  1.0421235E+01  6.8960572E-05  6.9071445E-05  9.4579243E-01
  1.9200009E+01  4.4340521E+01  5.0000000E+00  1.0421235E+01  1.4784505E-04  1.4809192E-04  9.4579243E-01
  1.9350009E+01  4.4686931E+01  5.0000000E+00  1.0421235E+01  3.0998507E-04  3.1052453E-04  9.4579243E-01
  1.9500009E+01  4.5033341E+01  5.0000000E+00  1.0421235E+01  6.3400701E-04  6.3516172E-04  9.4579243E-01
  1.9650009E+01  4.5379751E+01  5.0000000E+00  1.0421235E+01  1.2591529E-03  1.2615640E-03  9.4579243E-01
  1.9800009E+01  4.5726161E+01  5.0000000E+00  1.0421235E+01  2.4099338E-03  2.4148074E-03  9.4579243E-01
  1.9950009E+01  4.6072572E+01  5.0000000E+00  1.0421235E+01  4.3963250E-03  4.4057449E-03  9.4579243E-01
  2.0100009E+01  4.6418982E+01  5.0000000E+00  1.0421235E+01  7.5453578E-03  7.5624919E-03  9.4579243E-01
  2.0250009E+01  4.6765392E+01  5.0000000E+00  1.0421235E+01  1.2052896E-02  1.2081789E-02  9.4579243E-01
  2.0400009E+01  4.7111802E+01  5.0000000E+00  1.0421235E+01  1.7855144E-02  1.7899971E-02  9.4579243E-01
  2.0550009E+01  4.7458212E+01  5.0000000E+00  1.0421235E+01  2.4654100E-02  2.4718271E-02  9.4579243E-01
  2.0700009E+01  4.7804622E+01  5.0000000E+00  1.0421235E+01  3.2069416E-02  3.2155055E-02  9.4579243E-01
  2.0850009E+01  4.8151032E+01  5.0000000E+00  1.0421235E+01  3.9771020E-02  3.9878947E-02  9.4579243E-01
  2.1000009E+01  4.8497442E+01  5.0000000E+00  1.0421235E+01  4.7525504E-02  4.7655484E-02  9.4579243E-01
  2.1150009E+01  4.8843853E+01  5.0000000E+00  1.0421235E+01  5.5185469E-02  5.5336509E-02  9.4579243E-01
  2.1300009E+01  4.9190263E+01  5.0000000E+00  1.0421235E+01  6.2663168E-02  6.2833759E-02  9.4579243E-01
  2.1450009E+01  4.9536673E+01  5.0000000E+00  1.0421235E+01  6.9907765E-02  7.0096052E-02  9.4579243E-01
  2.1600009E+01  4.9883083E+01  5.0000000E+00  1.0421235E+01  7.6890062E-02  7.7093963E-02  9.4579243E-01
  2.1750009E+01  5.0229493E+01  5.0000000E+00  1.0421235E+01  8.3593257E-02  8.3810542E-02  9.4579243E-01
  2.1900009E+01  5.0575903E+01  5.0000000E+00  1.0421235E+01  9.0007603E-02  9.0235953E-02  9.4579243E-01
  2.2050009E+01  5.0922313E+01  5.0000000E+00  1.0421235E+01  9.6127374E-02  9.6364419E-02  9.4579243E-01
  2.2200009E+01  5.1268724E+01  5.0000000E+00  1.0421235E+01  1.0194915E-01  1.0219251E-01  9.4579243E-01
  2.2350009E+01  5.1615134E+01  5.0000000E+00  1.0421235E+01  1.0747085E-01  1.0771815E-01  9.4579243E-01
  2.2500008E+01  5.1961544E+01  5.0000000E+00  1.0421235E+01  1.1269118E-01  1.1294007E-01  9.4579243E-01
  2.2650008E+01  5.2307954E+01  5.0000000E+00  1.0421235E+01  1.1760929E-01  1.1785749E-01  9.4579243E-01
  2.2800008E+01  5.2654364E+01  5.0000000E+00  1.0421235E+01  1.2222462E-01  1.2246991E-01  9.4579243E-01
  2.2950008E+01  5.3000774E+01  5.0000000E+00  1.0421235E+01  1.2653678E-01  1.2677701E-01  9.4579243E-01
  2.3100008E+01  5.3347184E+01  5.0000000E+00  1.0421235E+01  1.3054544E-01  1.3077858E-01  9.4579243E-01
  2.3250008E+01  5.3693595E+01  5.0000000E+00  1.0421235E+01  1.3425038E-01  1.3447447E-01  9.4579243E-01
  2.3400008E+01  5.4040005E+01  5.0000000E+00  1.0421235E+01  1.3765138E-01  1.3786460E-01  9.4579243E-01
  2.3550008E+01  5.4386415E+01  5.0000000E+00  1.0421235E+01  1.4074824E-01  1.4094889E-01  9.4579243E-01
  2.3700008E+01  5.4732825E+01  5.0000000E+00  1.0421235E+01  1.4354079E-01  1.4372730E-01  9.4579243E-01
  2.3850008E+01  5.5079235E+01  5.0000000E+00  1.0421235E+01  1.4602885E-01  1.4619979E-01  9.4579243E-01
  2.4000008E+01  5.5425645E+01  5.0000000E+00  1.0421235E+01  1.4821224E-01  1.4836634E-01  9.4579243E-01
  2.4150008E+01  5.5772055E+01  5.0000000E+00  1.0421235E+01  1.5009080E-01  1.5022691E-01  9.4579243E-01
  2.4300008E+01  5.6118466E+01  5.0000000E+00  1.0421235E+01  1.5166434E-01  1.5178150E-01  9.4579243E-01
  2.4450008E+01  5.6464876E+01  5.0000000E+00  1.0421235E+01  1.5293269E-01  1.5303008E-01  9.4579243E-01
  2.4600008E+01  5.6811286E+01  5.0000000E+00  1.0421235E+01  1.5389567E-01  1.5397264E-01  9.4579243E-01
  2.4750008E+01  5.7157696E+01  5.0000000E+00  1.0421235E+01  1.5455311E-01  1.5460917E-01  9.4579243E-01
  2.4900008E+01  5.7504106E+01  5.0000000E+00  1.0421235E+01  1.5490482E-01  1.5493966E-01  9.4579243E-01
  2.5050008E+01  5.7850516E+01  5.0000000E+00  1.0421235E+01  1.5495063E-01  1.5496409E-01  9.4579243E-01
  2.5200008E+01  5.8196926E+01  5.0000000E+00  1.0421235E+01  1.5469035E-01  1.5468246E-01  9.4579243E-01
  2.5350008E+01  5.8543336E+01  5.0000000E+00  1.0421235E+01  1.5412381E-01  1.5409476E-01  9.4579243E-01
  2.5500008E+01  5.8889747E+01  5.0000000E+00  1.0421235E+01  1.5325083E-01  1.5320097E-01  9.4579243E-01
  2.5650008E+01  5.9236157E+01  5.0000000E+00  1.0421235E+01  1.5207124E-01  1.5200110E-01  9.4579243E-01
  2.5800008E+01  5.9582567E+01  5.0000000E+00  1.0421235E+01  1.5058486E-01  1.5049514E-01  9.4579243E-01
  2.5950008E+01  5.9928977E+01  5.0000000E+00  1.0421235E+01  1.4879154E-01  1.4868308E-01  9.4579243E-01
  2.6100008E+01  6.0275387E+01  5.0000000E+00  1.0421235E+01  1.4669112E-01  1.4656493E-01  9.4579243E-01
  2.6250008E+01  6.0621797E+01  5.0000000E+00  1.0421235E+01  1.4428343E-01  1.4414069E-01  9.4579243E-01
  2.6400008E+01  6.0968207E+01  5.0000000E+00  1.0421235E+01  1.4156836E-01  1.4141037E-01  9.4579243E-01
  2.6550008E+01  6.1314618E+01  5.0000000E+00  1.0421235E+01  1.3854577E-01  1.3837399E-01  9.4579243E-01
  2.6700008E+01  6.1661028E+01  5.0000000E+00  1.0421235E+01  1.3521555E-01  1.3503158E-01  9.4579243E-01
  2.6850008E+01  6.2007438E+01  5.0000000E+00  1.0421235E+01  1.3157764E-01  1.3138318E-01  9.4579243E-01
  2.7000008E+01  6.2353848E+01  5.0000000E+00  1.0421235E+01  1.2763198E-01  1.2742888E-01  9.4579243E-01
  2.7150008E+01  6.2700258E+01  5.0000000E+00  1.0421235E+01  1.2337859E-01  1.2316880E-01  9.4579243E-01
  2.7300008E+01  6.3046668E+01  5.0000000E+00  1.0421235E+01  1.1881755E-01  1.1860312E-01  9.4579243E-01
  2.7450008E+01  6.3393078E+01  5.0000000E+00  1.0421235E+01  1.1394907E-01  1.1373213E-01  9.4579243E-01
  2.7600008E+01  6.3739489E+01  5.0000000E+00  1.0421235E+01  1.0877353E-01  1.0855629E-01  9.4579243E-01
  2.7750008E+01  6.4085899E+01  5.0000000E+00  1.0421235E+01  1.0329161E-01  1.0307633E-01  9.4579243E-01
  2.7900008E+01  6.4432309E+01  5.0000000E+00  1.0421235E+01  9.7504446E-02  9.7293412E-02  9.4579243E-01
  2.8050008E+01  6.4778719E+01  5.0000000E+00  1.0421235E+01  9.1413932E-02  9.1209466E-02  9.4579243E-01
  2.8200008E+01  6.5125129E+01  5.0000000E+00  1.0421235E+01  8.5023261E-02  8.4827667E-02  9.4579243E-01
  2.8350008E+01  6.5471539E+01  5.0000000E+00  1.0421235E+01  7.8337810E-02  7.8153353E-02  9.4579243E-01
  2.8500008E+01  6.5817949E+01  5.0000000E+00  1.0421235E+01  7.1366736E-02  7.1195600E-02  9.4579243E-01
  2.8650008E+01  6.6164360E+01  5.0000000E+00  1.0421235E+01  6.4125786E-02  6.3970021E-02  9.4579243E-01
  2.8800008E+01  6.6510770E+01  5.0000000E+00  1.0421235E+01  5.6642245E-02  5.6503695E-02  9.4579243E-01
  2.8950008E+01  6.6857180E+01  5.0000000E+00  1.0421235E+01  4.8963536E-02  4.8843731E-02  9.4579243E-01
  2.9100008E+01  6.7203590E+01  5.0000000E+00  1.0421235E+01  4.1171535E-02  4.1071540E-02  9.4579243E-01
  2.9250008E+01  6.7550000E+01  5.0000000E+00  1.0421235E+01  3.3404357E-02  3.3324550E-02  9.4579243E-01
  2.9400008E+01  6.7896410E+01  5.0000000E+00  1.0421235E+01  2.5882989E-02  2.5822801E-02  9.4579243E-01
  2.9550008E+01  6.8242820E+01  5.0000000E+00  1.0421235E+01  1.8926471E-02  1.8884134E-02  9.4579243E-01
  2.9700008E+01  6.8589231E+01  5.0000000E+00  1.0421235E+01  1.2916703E-02  1.2889237E-02  9.4579243E-01
  2.9850008E+01  6.8935641E+01  5.0000000E+00  1.0421235E+01  8.1768642E-03  8.1604990E-03  9.4579243E-01
  3.0000008E+01  6.9282051E+01  5.0000000E+00  1.0421235E+01  4.8123993E-03  4.8033860E-03  9.4579243E-01
  3.0150008E+01  6.9628461E+01  5.0000000E+00  1.0421235E+01  2.6596032E-03  2.6549463E-03  9.4579243E-01
  3.0300008E+01  6.9974871E+01  5.0000000E+00  1.0421235E+01  1.3983252E-03  1.3960300E-03  9.4579243E-01
  3.0450008E+01  7.0321281E+01  5.0000000E+00  1.0421235E+01  7.0749362E-04  7.0640002E-04  9.4579243E-01
  3.0600008E+01  7.0667691E+01  5.0000000E+00  1.0421235E+01  3.4727567E-04  3.4676764E-04  9.4579243E-01
  3.0750008E+01  7.1014101E+01  5.0000000E+00  1.0421235E+01  1.6619610E-04  1.6596495E-04  9.4579243E-01
  3.0900008E+01  7.1360512E+01  5.0000000E+00  1.0421235E+01  7.7763580E-05  7.7660348E-05  9.4579243E-01
  3.1050008E+01  7.1706922E+01  5.0000000E+00  1.0421235E+01  3.5627605E-05  3.5582314E-05  9.4579243E-01
  3.1200008E+01  7.2053332E+01  5.0000000E+00  1.0421235E+01  1.5994930E-05  1.5975406E-05  9.4579243E-01
